em,country,sector,units,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019
NH3,alb,1A2c_Ind-Comb-Chemicals,ktNH3,0.005360995,0.001909095,0.000549114,0.000838851,0.001024656,0.001219732,0.000706642,0.000161164,4.96E-05,0.000260342,0.000259898,0.000263425
NH3,alb,1A2d_Ind-Comb-Pulp-paper,ktNH3,0.000215517,9.55E-05,0,0,0,0,0,0,0,9.92E-05,9.90E-05,0.000100352
NH3,alb,1A2e_Ind-Comb-Food-tobacco,ktNH3,0.007853928,0.001314296,0.001273398,0.004260053,0.006108583,0.006446154,0.004324626,0.003571111,0.002666619,0.003281347,0.003278834,0.003302113
NH3,alb,1A2f_Ind-Comb-Non-metalic-minerals,ktNH3,0.008701515,0.005142625,0.006171816,0.009926407,0.007437588,0.007928261,0.009186352,0.007091219,0.008938408,0.016141202,0.016167135,0.017069829
NH3,alb,1A2g_Ind-Comb-Construction,ktNH3,0.000942889,0.00019091,0.000137279,0.0032622,0.001837314,0.001177673,0.000694245,0,9.92E-05,9.92E-05,9.90E-05,0.000100352
NH3,alb,1A2g_Ind-Comb-machinery,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,alb,1A2g_Ind-Comb-mining-quarying,ktNH3,0.001508622,0.000668183,0,0,0,0,0,0,0.000892601,0,0,0
NH3,alb,1A2g_Ind-Comb-other,ktNH3,0,0.001500007,0.000621303,0.000524282,0.000755946,0.001126774,0.000877599,0.000314279,0.000103293,0.000226444,0.00022643,0.000229641
NH3,alb,1A2g_Ind-Comb-textile-leather,ktNH3,0.000457974,0.00019091,0,0,0,0,9.92E-05,9.92E-05,9.92E-05,9.92E-05,9.90E-05,0.000100352
NH3,alb,1A2g_Ind-Comb-transpequip,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,alb,1A2g_Ind-Comb-wood-products,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,alb,1A3b_Road,ktNH3,0.080714061,0.108857278,0.134909857,0.146958772,0.153061091,0.173015471,0.173405202,0.173622672,0.169354822,0.167207305,0.166921915,0.169187602
NH3,alb,1A3c_Rail,ktNH3,0.000229033,2.08E-05,2.08E-05,2.08E-05,2.08E-05,2.08E-05,1.39E-05,1.39E-05,1.39E-05,1.39E-05,1.39E-05,1.40E-05
NH3,alb,1A3di_Oil_Tanker_Loading,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,alb,1A3dii_Domestic-navigation,ktNH3,0.00127,8.00E-04,0.00072,6.00E-04,0.00054,0.00086,0.00092,0.00091,0.00091,0.00095,0.000948379,0.000961251
NH3,alb,1A3eii_Other-transp,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,alb,1A4a_Commercial-institutional,ktNH3,0.010248565,0.008141032,0.004398431,0.0032818,0.00451704,0.005131741,0.00361272,0.005482805,0.005044957,0.004910701,0.004913171,0.005023781
NH3,alb,1A4b_Residential,ktNH3,0.596600214,0.60835596,0.592712733,0.580943724,0.573260284,0.560607524,0.539335785,0.539318471,0.46077602,0.421988554,0.421985747,0.422008034
NH3,alb,1A4c_Agriculture-forestry-fishing,ktNH3,0.01573542,0.010680307,0.012707137,0.014286876,0.014814176,0.013802735,0.013968995,0.013518838,0.013965242,0.015388723,0.015365673,0.015548664
